Timestamp                       Thread     Type        Activity             PID    TTL  
2024-10-30 10:19:51.202531-0300 0x1e3e5    Error       0x0                  0      0    kernel: (Sandbox) Sandbox: searchpartyuseragent(4440) deny(1) mach-lookup com.apple.contactsd.persistence
2024-10-30 10:19:51.202253-0300 0x1df21    Default     0x59c88              4440   0    searchpartyuseragent: (libxpc.dylib) [com.apple.xpc:connection] [0x13e62e640] activating connection: mach=true listener=false peer=false name=com.apple.contactsd.persistence
2024-10-30 10:19:51.202253-0300 0x1d8c2    Default     0x59c4a              960    0    imagent: (libxpc.dylib) [com.apple.xpc:connection] [0x13df49730] activating connection: mach=true listener=false peer=false name=com.apple.contactsd.persistence
2024-10-30 10:19:51.202634-0300 0x1df21    Default     0x59c88              4440   0    searchpartyuseragent: (libxpc.dylib) [com.apple.xpc:connection] [0x13e62e640] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2024-10-30 10:19:51.202470-0300 0x1d8c2    Default     0x59c4a              960    0    imagent: (libxpc.dylib) [com.apple.xpc:connection] [0x13df49730] failed to do a bootstrap look-up: xpc_error=[159: Unknown error: 159]
2024-10-30 10:19:51.202682-0300 0x1df21    Default     0x59c88              4440   0    searchpartyuseragent: (libxpc.dylib) [com.apple.xpc:connection] [0x13e62e640] invalidated after a failed init
2024-10-30 10:19:51.202534-0300 0x1d8c2    Default     0x59c4a              960    0    imagent: (libxpc.dylib) [com.apple.xpc:connection] [0x13df49730] invalidated after a failed init
2024-10-30 10:19:51.202838-0300 0x1df22    Error       0x0                  4440   0    searchpartyuseragent: (ContactsPersistence) [com.apple.contacts:persistence] Persistent store service connection invalidated: failed at lookup with error 159 - Sandbox restriction
2024-10-30 10:19:51.202703-0300 0x1e6fe    Error       0x0                  960    0    imagent: (ContactsPersistence) [com.apple.contacts:persistence] Persistent store service connection invalidated: failed at lookup with error 159 - Sandbox restriction
2024-10-30 10:19:51.202934-0300 0x1df21    Error       0x59c88              4440   0    searchpartyuseragent: (ContactsPersistence) [com.apple.contacts:persistence] Error communicating with persistent store service proxy: Error Domain=NSCocoaErrorDomain Code=4099 "The connection to service named com.apple.contactsd.persistence was invalidated: failed at lookup with error 159 - Sandbox restriction." UserInfo={NSDebugDescription=The connection to service named com.apple.contactsd.persistence was invalidated: failed at lookup with error 159 - Sandbox restriction.}
2024-10-30 10:19:51.202777-0300 0x1d8c2    Error       0x59c4a              960    0    imagent: (ContactsPersistence) [com.apple.contacts:persistence] Error communicating with persistent store service proxy: Error Domain=NSCocoaErrorDomain Code=4099 "The connection to service named com.apple.contactsd.persistence was invalidated: failed at lookup with error 159 - Sandbox restriction." UserInfo={NSDebugDescription=The connection to service named com.apple.contactsd.persistence was invalidated: failed at lookup with error 159 - Sandbox restriction.}
2024-10-30 10:19:51.202993-0300 0x1df21    Error       0x59c88              4440   0    searchpartyuseragent: (ContactsPersistence) [com.apple.contacts:persistence] Error connecting to remote endpoint: (null)
2024-10-30 10:19:51.202868-0300 0x1d8c2    Error       0x59c4a              960    0    imagent: (ContactsPersistence) [com.apple.contacts:persistence] Error connecting to remote endpoint: (null)
2024-10-30 10:19:51.203058-0300 0x1df21    Error       0x59c88              4440   0    searchpartyuseragent: (CoreData) [com.apple.coredata:error] fault: Unable to create token NSXPCConnection.  NSXPCStoreServerEndpointFactory 0x13f822d80 -newEndpoint returned nil
2024-10-30 10:19:51.202982-0300 0x1d8c2    Error       0x59c4a              960    0    imagent: (CoreData) [com.apple.coredata:error] fault: Unable to create token NSXPCConnection.  NSXPCStoreServerEndpointFactory 0x13de3ee90 -newEndpoint returned nil
2024-10-30 10:19:51.203268-0300 0x1df21    Activity    0x59d78              4440   0    searchpartyuseragent: (libsystem_trace.dylib) Activity for state dumps
2024-10-30 10:19:51.203431-0300 0x1d8c2    Activity    0x59d6a              960    0    imagent: (libsystem_trace.dylib) Activity for state dumps
2024-10-30 10:19:51.203266-0300 0x1df21    Fault       0x59d78              4440   0    searchpartyuseragent: (CoreData) [com.apple.coredata:error] CoreData: Unable to create token NSXPCConnection.  NSXPCStoreServerEndpointFactory 0x13f822d80 -newEndpoint returned nil
2024-10-30 10:19:51.203428-0300 0x1d8c2    Fault       0x59d6a              960    0    imagent: (CoreData) [com.apple.coredata:error] CoreData: Unable to create token NSXPCConnection.  NSXPCStoreServerEndpointFactory 0x13de3ee90 -newEndpoint returned nil
2024-10-30 10:19:51.203838-0300 0x1df21    Error       0x59c88              4440   0    searchpartyuseragent: (CoreData) [com.apple.coredata:error] error: Failed to create NSXPCConnection
2024-10-30 10:19:51.203972-0300 0x1d8c2    Error       0x59c4a              960    0    imagent: (CoreData) [com.apple.coredata:error] error: Failed to create NSXPCConnection
2024-10-30 10:19:51.204157-0300 0x1df21    Default     0x59c88              4440   0    searchpartyuseragent: (CoreData) CoreData: XPC: sendMessage: failed #5
2024-10-30 10:19:51.204290-0300 0x1d8c2    Default     0x59c4a              960    0    imagent: (CoreData) CoreData: XPC: sendMessage: failed #5
2024-10-30 10:19:51.681099-0300 0x206d     Default     0x0                  950    0    sharingd: (CoreUtils) [com.apple.sharing:SFBLEScanner] NearbyInfo: Clearing duplicate cache
2024-10-30 10:19:51.681279-0300 0x206d     Default     0x0                  950    0    sharingd: (WirelessProximity) [com.apple.bluetooth:WirelessProximity] Nearby clear duplicate filter cache type 1
2024-10-30 10:19:51.682930-0300 0x1d331    Default     0x0                  365    0    bluetoothd: (WPDaemon) [com.apple.bluetooth:WirelessProximity] clear dup filter cache for process sharingd (950) with scan request of type 16, blob: {length = 0, bytes = 0x}, mask {length = 0, bytes = 0x}, active: 0, duplicates: 0, screen on: No Scan, screen off: No Scan, locked: 1,  rssi: -90, peers: (
) nearby scan mode: 10, advbuf: 0, priority critical: 0, range: 0, usecases:
2024-10-30 10:19:51.684541-0300 0x1d331    Default     0x0                  365    0    bluetoothd: (WPDaemon) [com.apple.bluetooth:WirelessProximity] About to clearDuplicateFilterCache for type: 16
2024-10-30 10:19:51.685074-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.XPC] Received XPC message "CBMsgIdClearDuplicateFilterCache" from session "com.apple.bluetoothd-central-365-3"
2024-10-30 10:19:51.686421-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] ShouldScan=1 AnyValidScanRequests=1 anyValidScanRequestInPaused=0 fObserverState=Active ClientScanPowerAssertRequired=0 fScanFiltersNeedUpdagint=0
2024-10-30 10:19:51.687180-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] updateADVBufferConfig current:00 new:00 configChanged:00
2024-10-30 10:19:51.687283-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] enableObjectDiscoveryADVBuffersIfNeeded objectDiscoveryHwAdvBufferOnly:0 fScreenState:1
2024-10-30 10:19:51.687356-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] AOPBTBUFF config current:0 new:0 configChanged:0
2024-10-30 10:19:51.687413-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] enableAOPBTBuffersIfNeeded haveAnyHwAOPBTBufferRequests:0 fScreenState:1 fAOPBTBufferReadInProgress:0
2024-10-30 10:19:51.687543-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] updateAgentScanUseCaseEntry controllerSupportsScanRx:0 session:<private> usecase:FindMyNotOptedIn previous:<private> entry:<private>
2024-10-30 10:19:51.687938-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] state 32
2024-10-30 10:19:51.688059-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] <private> allowDupes:0, agentAllowDupes:0, active:0
2024-10-30 10:19:51.688113-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] <private> active 0
2024-10-30 10:19:51.688278-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] state 32
2024-10-30 10:19:51.688350-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] Findmy usecase "FindMyNotOptedIn" is asking for duplicates? No
2024-10-30 10:19:51.688405-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] <private> allowDupes:0, agentAllowDupes:0, active:0
2024-10-30 10:19:51.688455-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] <private> active 0
2024-10-30 10:19:51.688552-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] state 32
2024-10-30 10:19:51.688774-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] <private> allowDupes:0, agentAllowDupes:1, active:0
2024-10-30 10:19:51.688942-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] <private> active 0
2024-10-30 10:19:51.689214-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] state 32
2024-10-30 10:19:51.689365-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] Upgrading <private> to active scan hasZoneScan:0 hasMatchingRulesScan:0
2024-10-30 10:19:51.689568-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] <private> allowDupes:0, agentAllowDupes:0, active:1
2024-10-30 10:19:51.689778-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] <private> active 0
2024-10-30 10:19:51.690030-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] ScanParams: numScanAgents 4, combined params AD:0 AS:0 MSL:3 (30/300) PSV:1
2024-10-30 10:19:51.690235-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] ScanParams: [CBDaemon-0x76900008] AP:0 AD:0(30/300) AS:0 RAS:0 DMN:1 FG:0 ADVBF:0 pBT:0|[com.apple.locationd-central-351-1] AP:0 AD:0(30/300) AS:0 RAS:0 DMN:1 FG:0 ADVBF:0 pBT:0|[com.apple.bluetoothd-central-365-3] AP:0 AD:1(30/300) AS:0 RAS:0 DMN:1 FG:0 ADVBF:0 pBT:0
2024-10-30 10:19:51.690440-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] ScanParams: [com.apple.bluetoothd-central-365-6] AP:0 AD:0(30/966) AS:0 RAS:0 DMN:1 FG:0 ADVBF:0 pBT:0
2024-10-30 10:19:51.690589-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] Returning scan parameters: Main:30.00ms/300.00ms LP:0.00ms/300.00ms(unsupported) SC:0.00ms/0.00ms/non-concurrent(unspported) Dm:(m:30/300) Cond:0:1:0 Sc:1 (passive) Dupfilter:Enabled minScanLevel:3 ENAssertion:N Pri:0/0
2024-10-30 10:19:51.690794-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] needToRestart=1
2024-10-30 10:19:51.691062-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.App] clearDuplicateFilterCache for session "com.apple.bluetoothd" type 16
2024-10-30 10:19:51.699985-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] Scanning stopped successfully.  10 Advertising Events, 0 dropped pkts
2024-10-30 10:19:51.700050-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] handleScanStoppedEvent state=Idle observerState=Active
2024-10-30 10:19:51.700242-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] ShouldScan=1 AnyValidScanRequests=1 anyValidScanRequestInPaused=0 fObserverState=Active ClientScanPowerAssertRequired=0 fScanFiltersNeedUpdagint=0
2024-10-30 10:19:51.700293-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] updateADVBufferConfig current:00 new:00 configChanged:00
2024-10-30 10:19:51.700346-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] enableObjectDiscoveryADVBuffersIfNeeded objectDiscoveryHwAdvBufferOnly:0 fScreenState:1
2024-10-30 10:19:51.700388-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] AOPBTBUFF config current:0 new:0 configChanged:0
2024-10-30 10:19:51.700428-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] enableAOPBTBuffersIfNeeded haveAnyHwAOPBTBufferRequests:0 fScreenState:1 fAOPBTBufferReadInProgress:0
2024-10-30 10:19:51.700522-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] updateAgentScanUseCaseEntry controllerSupportsScanRx:0 session:<private> usecase:FindMyNotOptedIn previous:<private> entry:<private>
2024-10-30 10:19:51.700621-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] state 32
2024-10-30 10:19:51.700729-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] <private> allowDupes:0, agentAllowDupes:0, active:0
2024-10-30 10:19:51.700776-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] <private> active 0
2024-10-30 10:19:51.701006-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] state 32
2024-10-30 10:19:51.701114-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] Findmy usecase "FindMyNotOptedIn" is asking for duplicates? No
2024-10-30 10:19:51.701293-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] <private> allowDupes:0, agentAllowDupes:0, active:0
2024-10-30 10:19:51.701489-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] <private> active 0
2024-10-30 10:19:51.701735-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] state 32
2024-10-30 10:19:51.701939-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] <private> allowDupes:0, agentAllowDupes:1, active:0
2024-10-30 10:19:51.702092-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] <private> active 0
2024-10-30 10:19:51.702351-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] state 32
2024-10-30 10:19:51.702502-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] Upgrading <private> to active scan hasZoneScan:0 hasMatchingRulesScan:0
2024-10-30 10:19:51.702709-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] <private> allowDupes:0, agentAllowDupes:0, active:1
2024-10-30 10:19:51.702911-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] <private> active 0
2024-10-30 10:19:51.703142-0300 0x1d670    Default     0x0                  365    0    bluetoothd: [com.apple.bluetooth:Server.LE.Scan] ScanParams: numScanAgents 4, combined params AD:0 AS:0 MSL:3 (30/300) PSV:1
